20MICRONS.NS,20 Microns Limited 
JWL.NS,Jupiter Wagons Limited
KAKATCEM.NS,Kakatiya Cement Sugar & Industries Limited
KALYANIFRG.NS,Kalyani Forge Limited
KALYANKJIL.NS,Kalyan Jewellers India Limited
KAMATHOTEL.NS,Kamat Hotels (I) Limited
KAMDHENU.NS,Kamdhenu Limited
KANPRPLA.NS,Kanpur Plastipack Limited
KAPSTON.NS,Kapston Services Limited
KARMAENG.NS,Karma Energy Limited
KAUSHALYA.NS,Kaushalya Infrastructure Development Corporation Limited
KAVVERITEL.NS,Kavveri Telecom Products Limited
KAYA.NS,Kaya Limited
KAYNES.NS,Kaynes Technology India Limited
KDDL.NS,KDDL Limited
KECL.NS,Kirloskar Electric Company Limited
KENNAMET.NS,Kennametal India Limited
KERNEX.NS,Kernex Microsystems (India) Limited
KESORAMIND.NS,Kesoram Industries Limited
KEYFINSERV.NS,Keynote Financial Services Limited
KFINTECH.NS,Kfin Technologies Limited
KHADIM.NS,Khadim India Limited
KHAITANLTD.NS,Khaitan (India) Limited
KHANDSE.NS,Khandwala Securities Limited
KICL.NS,Kalyani Investment Company Limited
KILITCH.NS,Kilitch Drugs (India) Limited
KIMS.NS,Krishna Institute of Medical Sciences Limited
ORIENTALTL.NS,Oriental Trimex Limited
PNBHOUSING.NS,PNB Housing Finance Limited
PODDARHOUS.NS,Poddar Housing and Development Limited
POWERGRID.NS,Power Grid Corporation of India Limited
POWERMECH.NS,Power Mech Projects Limited
PPAP.NS,PPAP Automotive Limited
PPL.NS,Prakash Pipes Limited
PPLPHARMA.NS,Piramal Pharma Limited
PRAENG.NS,Prajay Engineers Syndicate Limited
PRAKASH.NS,Prakash Industries Limited
PRECAM.NS,Precision Camshafts Limited
PRECOT.NS,Precot Limited
PREMEXPLN.NS,Premier Explosives Limited
PREMIER.NS,Premier Limited
PRESTIGE.NS,Prestige Estates Projects Limited
PRINCEPIPE.NS,Prince Pipes And Fittings Limited
PRITI.NS,Priti International Limited
PRIVISCL.NS,Privi Speciality Chemicals Limited
SPLIL.NS,SPL Industries Limited
SPORTKING.NS,Sportking India Limited
SREEL.NS,Sreeleathers Limited
SRF.NS,SRF Limited
SRHHYPOLTD.NS,Sree Rayalaseema Hi-Strength Hypo Limited
SRPL.NS,Shree Ram Proteins Limited
STAR.NS,Strides Pharma Science Limited
STARHEALTH.NS,Star Health and Allied Insurance Company Limited
STARPAPER.NS,Star Paper Mills Limited
STARTECK.NS,Starteck Finance Limited
STCINDIA.NS,The State Trading Corporation of India Limited
STEELCITY.NS,Steel City Securities Limited
STEL.NS,Stel Holdings Limited
STOVEKRAFT.NS,Stove Kraft Limited
STYRENIX.NS,Styrenix Performance Materials Limited
SUKHJITS.NS,Sukhjit Starch & Chemicals Limited
SUMEETINDS.NS,Sumeet Industries Limited
SUMICHEM.NS,Sumitomo Chemical India Limited
SUMIT.NS,Sumit Woods Limited
SUMMITSEC.NS,Summit Securities Limited
SUNDARMFIN.NS,Sundaram Finance Limited
SUNDRMBRAK.NS,Sundaram Brake Linings Limited
SUNFLAG.NS,Sunflag Iron And Steel Company Limited
SUPERHOUSE.NS,Superhouse Limited
SURYALAXMI.NS,Suryalakshmi Cotton Mills Limited
SURYAROSNI.NS,Surya Roshni Limited
SURYODAY.NS,Suryoday Small Finance Bank Limited
SUULD.NS,Suumaya Industries Limited
SWARAJENG.NS,Swaraj Engines Limited
SWELECTES.NS,Swelect Energy Systems Limited
SYNGENE.NS,Syngene International Limited
SYRMA.NS,Syrma SGS Technology Limited
TAINWALCHM.NS,Tainwala Chemical and Plastic (I) Limited
TALBROAUTO.NS,Talbros Automotive Components Limited
TANTIACONS.NS,Tantia Constructions Limited
TARAPUR.NS,Tarapur Transformers Limited
TARMAT.NS,Tarmat Limited
TASTYBITE.NS,Tasty Bite Eatables Limited
TATACHEM.NS,Tata Chemicals Limited
TATACOMM.NS,Tata Communications Limited
TATAELXSI.NS,Tata Elxsi Limited
TATAINVEST.NS,Tata Investment Corporation Limited
TATAMETALI.NS,Tata Metaliks Limited
TATASTLLP.NS,Tata Steel Long Products Limited
TATVA.NS,Tatva Chintan Pharma Chem Limited
TBZ.NS,Tribhovandas Bhimji Zaveri Limited
TCPLPACK.NS,TCPL Packaging Limited
TEAMLEASE.NS,Teamlease Services Limited
TECHIN.NS,Techindia Nirman Limited
TEGA.NS,Tega Industries Limited
TEJASNET.NS,Tejas Networks Limited
TEMBO.NS,Tembo Global Industries Limited
TERASOFT.NS,Tera Software Limited
